entry_date,exit_date,ticker,combo,ff,contracts,cost_per_contract,pnl,ret_pct
2025-02-27,2025-03-27,BA,29-49,0.021211709100513065,10,412.1,1832.9999999999998,0.44479495268138797
2025-02-27,2025-03-27,GE,29-49,0.01688497728763072,10,364.60000000000014,1407.999999999999,0.3861766319253973
2025-02-27,2025-03-27,MCD,29-49,0.0055043989159178075,10,371.1,1527.9999999999998,0.4117488547561304
2025-02-27,2025-03-27,MSFT,29-49,0.0024952433423981457,10,622.1,1987.9999999999998,0.3195627712586401
2025-03-06,2025-03-27,ADSK,22-50,0.028109982824266355,10,849.5999999999997,-591.9999999999972,-0.06967984934086599
2025-03-06,2025-04-03,ADP,29-50,0.04215011393975576,10,414.6000000000002,2282.999999999998,0.5506512301013018
2025-03-13,2025-04-03,XYZ,22-43,0.08383376385665797,10,292.1000000000001,-37.0000000000001,-0.012666894899007219
2025-03-20,2025-04-03,DDOG,15-43,0.11099237169859055,10,636.6000000000001,-1637.000000000001,-0.25714734527175626
2025-03-20,2025-04-03,AMD,15-43,0.07133903708737321,10,555.1000000000001,-2742.0000000000027,-0.49396505134210084
2025-03-13,2025-04-10,DASH,29-50,0.13198872971486297,10,819.6,2097.999999999997,0.2559785261102973
2025-03-13,2025-04-10,CVNA,29-50,0.09663431146847823,10,1267.1,1873.0000000000007,0.14781785178754642
2025-03-20,2025-04-10,COIN,22-43,0.026348010579187786,10,997.1,1673.0000000000032,0.16778658108514724
2025-03-20,2025-04-16,INTU,28-57,0.0297456036548156,10,1484.6,10683.0,0.7195877677488886
2025-03-20,2025-04-16,CRM,28-57,0.012793318270873044,10,774.6,-5337.0,-0.6890007745933385
2025-03-27,2025-04-16,NVDA,21-43,0.09172719332146806,10,371.59999999999997,1097.9999999999995,0.2954790096878363
2025-03-27,2025-04-16,SJM,21-50,0.032393552797402414,10,277.09999999999997,1307.9999999999998,0.47203175748827136
2025-03-27,2025-04-16,CRWD,21-43,0.00901676990668876,10,1169.6,12767.999999999998,1.0916552667578658
2025-03-28,2025-04-16,ADSK,20-42,0.03674378055117433,10,739.6,3133.0000000000005,0.42360735532720395
2025-03-28,2025-04-16,SNPS,20-49,0.008896258903154486,10,1629.6,583.0000000000035,0.03577565046637233
2025-03-06,2025-04-24,PANW,50-71,0.05669508669865331,10,435.1,4622.999999999997,1.0625143645139041
2025-03-20,2025-04-24,COST,36-57,0.0313317349958544,10,1494.5999999999995,-1736.9999999999952,-0.11621838619028475
2025-03-20,2025-04-24,AVGO,36-57,0.018735144026221784,10,552.1000000000001,4062.999999999999,0.7359174062669802
2025-04-03,2025-04-24,ADBE,22-43,0.046279391797011904,10,894.6,1832.999999999998,0.2048960429242117
2025-04-04,2025-05-01,NKE,28-49,0.02872902853745729,10,151.60000000000002,137.99999999999994,0.0910290237467018
2025-04-16,2025-05-01,UAL,16-44,0.0019426148113228514,10,498.1,353.00000000000045,0.0708693033527405
2025-04-17,2025-05-01,ORCL,15-43,0.018868883022754135,10,580.1,-3207.0000000000014,-0.5528357179796589
2025-04-17,2025-05-01,DLTR,15-43,0.012874920709244897,10,474.1,583.0,0.12296983758700696
2025-04-17,2025-05-01,BLK,15-43,0.008277825293641516,10,3104.6,-6191.9999999999945,-0.1994459833795012
2025-04-10,2025-05-08,DG,29-50,0.19338718235922725,10,428.6,-1526.9999999999995,-0.35627624825011656
2025-04-14,2025-05-08,MNST,25-46,0.11896142451489045,10,172.09999999999997,-1216.9999999999995,-0.7071470075537477
2025-04-17,2025-05-08,CRWD,22-43,0.06268520847513126,10,1392.1,-5897.000000000005,-0.4236046261044468
2025-04-24,2025-05-08,LEN,15-43,0.024161184272460057,10,432.1,1257.9999999999995,0.2911363110391112
2025-04-15,2025-05-15,STZ,31-66,0.07468757974682916,10,442.1000000000001,632.9999999999989,0.14318027595566585
2025-04-25,2025-05-15,LHX,21-84,0.026819604480729398,10,1107.1,-3267.000000000002,-0.29509529401138124
2025-04-25,2025-05-15,ADBE,21-42,0.013284016024236678,10,879.6,-4716.999999999998,-0.5362664847658024
2025-04-25,2025-05-15,ABT,21-42,0.006656116912086674,10,268.1000000000001,-307.000000000001,-0.11450951137635244
2025-05-01,2025-05-15,EW,15-50,0.09717845926482394,10,319.6000000000001,-17.000000000000078,-0.005319148936170236
2025-04-25,2025-05-22,FCX,28-84,0.07507895201398807,10,281.6,462.9999999999999,0.1644176136363636
2025-04-28,2025-05-22,ABBV,25-53,0.010488973629775522,10,544.6,-782.0000000000002,-0.14359162688211535
2025-05-08,2025-05-22,AMD,15-50,0.08307345336711291,10,681.6,-827.0000000000002,-0.12133215962441318
2025-04-29,2025-05-29,HAL,31-80,0.3606536570636647,10,222.1,-887.0000000000001,-0.39936965330932017
2025-05-08,2025-05-29,SPGI,22-50,0.10565724089353545,10,1129.6000000000001,4107.999999999998,0.363668555240793
2025-05-15,2025-05-29,VRTX,15-43,0.08743135086474285,10,1407.1000000000001,3157.9999999999973,0.22443323146897853
2025-05-08,2025-06-04,MAR,29-50,0.13915800749508866,10,644.5999999999999,-466.999999999999,-0.0724480297859136
2025-05-08,2025-06-04,MA,29-50,0.11396336064878865,10,1014.6,-327.0000000000001,-0.03222945002956831
2025-05-22,2025-06-04,BMY,15-42,0.09351389993532866,10,218.6,-397.0,-0.18161024702653247
2025-05-15,2025-06-12,MSFT,29-64,0.09687543514775698,10,1112.1,-2012.000000000001,-0.1809189821059258
2025-05-29,2025-06-12,EL,15-43,0.11017430429103259,10,401.6000000000001,-997.0000000000005,-0.24825697211155384
2025-04-23,2025-06-18,ISRG,58-86,0.13441180288658972,10,1469.5999999999997,3658.000000000001,0.24891126837234634
2025-04-24,2025-06-18,BA,57-85,0.034457753674425495,10,454.5999999999999,593.0000000000015,0.13044434667839894
2025-04-24,2025-06-18,TSLA,57-85,0.0176902036700326,10,1122.1000000000004,-607.0000000000049,-0.054095000445593504
2025-04-25,2025-06-18,GOOG,56-84,0.004783831944373151,10,317.09999999999997,2148.000000000001,0.6773888363292341
2025-05-01,2025-06-18,CME,50-78,0.23835766537423142,10,722.1000000000001,232.9999999999995,0.0322669990306051
2025-05-01,2025-06-18,V,50-78,0.09134713031433028,10,624.6,2737.999999999999,0.4383605507524814
2025-05-01,2025-06-18,LMT,50-78,0.08544943335291011,10,769.5999999999999,6157.999999999999,0.8001559251559252
2025-05-01,2025-06-18,PG,50-78,0.05993071032184716,10,290.09999999999997,-276.999999999999,-0.09548431575318822
2025-05-15,2025-06-18,BIIB,36-64,0.195918270577089,10,414.6000000000002,-317.0000000000021,-0.07645923781958562
2025-05-15,2025-06-18,AMGN,36-64,0.09378133765018615,10,877.0999999999998,-856.9999999999995,-0.09770835708585107
2025-05-15,2025-06-18,AMP,36-64,0.09109095092867614,10,1229.5999999999997,-291.9999999999965,-0.023747560182172785
2025-05-29,2025-06-18,BAC,22-43,0.17440975621550336,10,169.1,-547.0000000000001,-0.32347723240685994
2025-05-29,2025-06-18,XYZ,22-43,0.16494852245143776,10,281.1000000000001,-332.00000000000045,-0.11810743507648536
2025-06-04,2025-06-18,FFIV,16-44,0.12306451869910173,10,882.1,-992.0000000000002,-0.11245890488606737
2025-06-04,2025-06-18,LIN,16-44,0.07667487551482366,10,1049.6,-4717.0,-0.4494092987804878
2025-05-22,2025-07-02,SMCI,42-85,0.19054089743609648,10,559.1,-761.9999999999998,-0.13629046682167767
2025-06-12,2025-07-02,EBAY,21-43,0.23247465600739647,10,302.6,-681.9999999999998,-0.2253800396563119
2025-06-18,2025-07-02,NVDA,15-44,0.13707406243364084,10,726.6,-2092.0,-0.2879163225984035
2025-06-18,2025-07-02,DIS,15-44,0.10227379691865068,10,341.1000000000001,-1717.0000000000005,-0.503371445323952
2025-06-18,2025-07-02,AMD,15-44,0.09145711975346704,10,706.1,-1702.0000000000014,-0.24104234527687315
2025-06-12,2025-07-10,FTNT,29-50,0.2713443007422489,10,430.1,-906.9999999999993,-0.2108811904208322
2025-06-18,2025-07-10,MCD,23-44,0.18256467613210825,10,683.6,-2127.000000000001,-0.311146869514336
2025-06-18,2025-07-10,CEG,23-44,0.11850929318910364,10,1359.6,3557.9999999999995,0.26169461606354805
2025-06-18,2025-07-10,APA,23-44,0.10474734936025243,10,117.1,-451.9999999999999,-0.38599487617420997
2025-06-18,2025-07-10,WMT,23-44,0.09697879313384195,10,205.59999999999997,-101.99999999999983,-0.04961089494163417
